,Имя покупателя,Дата выдачи,сумма займа,процент годовых,название банка
136,Краснов Антон,2018-7-19,38000,0.5,Стальстрой банк
137,Булгаков Роман,2022-3-22,10500,2.0,ВАШ БАНК
138,Воронин Ибрагим,2021-3-22,1800,9.0,РосТоргПром банк
139,Гуляев Олег,2019-4-3,1600,9.0,РосТоргПром банк
140,Трошина Лидия,2021-2-26,12000,2.0,ВАШ БАНК
141,Кузнецова Стефания,2020-9-3,4000,7.0,РосТоргПром банк
142,Русанова Майя,2021-6-9,3600,7.0,РосТоргПром банк
143,Андрианова Вероника,2018-1-22,45000,0.5,Стальстрой банк
144,Розанова Ника,2018-6-23,17300,1.0,ВАШ БАНК
145,Давыдова София,2022-5-6,4600,6.0,Инвестбанк
146,Юдин Михаил,2020-11-1,700,10.0,Инвестбанк
147,Басов Иван,2019-6-15,3000,8.0,РосТоргПром банк
148,Авдеева Василиса,2019-12-23,1100,9.0,РосТоргПром банк
149,Прохорова Мария,2022-9-26,37000,0.5,Стальстрой банк
150,Горелова Маргарита,2019-2-17,45000,0.5,Стальстрой банк
151,Поляков Владимир,2020-8-20,4000,7.0,Инвестбанк
152,Васильев Фёдор,2018-11-11,900,10.0,РосТоргПром банк
153,Краснов Дмитрий,2022-8-1,9000,3.0,ВАШ БАНК
154,Прохорова Мария,2021-1-20,3800,7.0,РосТоргПром банк
155,Субботин Илья,2020-8-16,1200,9.0,РосТоргПром банк
156,Журавлев Давид,2020-9-24,1700,9.0,РосТоргПром банк
157,Матвеева Ксения,2019-2-25,2500,8.0,Инвестбанк
158,Новиков Роберт,2021-8-13,2300,8.0,Инвестбанк
159,Сомов Ярослав,2022-1-23,19300,1.0,ВАШ БАНК
160,Зубкова Арина,2022-8-26,1600,9.0,РосТоргПром банк
161,Алексеева Мария,2018-10-26,3100,7.0,РосТоргПром банк
162,Серов Максим,2020-7-27,17700,1.0,ВАШ БАНК
163,Жукова Милана,2018-8-11,4800,6.0,Инвестбанк
164,Сидоров Ярослав,2021-1-28,600,10.0,Инвестбанк
165,Зуев Евгений,2020-9-12,17500,1.0,ВАШ БАНК
166,Комарова Аиша,2018-3-17,12000,2.0,ВАШ БАНК
167,Иванова Екатерина,2019-11-6,32000,0.5,Стальстрой банк
168,Некрасов Максим,2021-4-4,42000,0.5,Стальстрой банк
169,Любимова Полина,2019-9-10,13700,2.0,ВАШ БАНК
170,Жукова Милана,2021-3-10,42000,0.5,Стальстрой банк
171,Кулакова Марьям,2019-11-19,15300,1.0,ВАШ БАНК
172,Исаев Дмитрий,2022-2-18,14200,2.0,ВАШ БАНК
173,Софронов Илья,2019-6-8,18000,1.0,ВАШ БАНК
174,Сидорова Полина,2019-11-5,17400,1.0,ВАШ БАНК
175,Краснов Дмитрий,2020-2-20,1300,9.0,Инвестбанк
176,Прохорова Мария,2019-11-4,10200,2.0,ВАШ БАНК
177,Муратова Дарья,2019-2-18,1500,9.0,РосТоргПром банк
178,Козловский Фёдор,2022-4-22,4100,6.0,Инвестбанк
179,Шувалова Елизавета,2021-10-18,3800,7.0,Инвестбанк
180,Голубева Вероника,2020-2-3,40000,0.5,Стальстрой банк
181,Морозов Арсений,2020-9-12,14600,2.0,ВАШ БАНК
182,Ситников Матвей,2020-12-6,3600,7.0,Инвестбанк
183,Васильев Сергей,2020-9-13,16400,1.0,ВАШ БАНК
184,Малахов Тимофей,2018-8-22,40000,0.5,Стальстрой банк
185,Комаров Роман,2019-6-11,2800,8.0,РосТоргПром банк
186,Алексеев Роман,2018-4-15,2000,9.0,РосТоргПром банк
187,Семенова Мария,2019-5-12,26000,0.5,Стальстрой банк
188,Родионов Данила,2019-2-7,1400,9.0,РосТоргПром банк
189,Поляков Артемий,2022-4-25,13500,2.0,ВАШ БАНК
190,Тимофеева Кира,2020-6-28,2000,9.0,РосТоргПром банк
191,Соловьев Сергей,2018-5-14,15900,1.0,ВАШ БАНК
192,Матвеева Миа,2021-1-9,1300,9.0,РосТоргПром банк
193,Сергеев Георгий,2019-10-27,4600,6.0,Инвестбанк
194,Майоров Никита,2022-9-18,16100,1.0,ВАШ БАНК
195,Сорокина Кира,2020-3-28,3700,7.0,РосТоргПром банк
196,Матвеева Миа,2022-10-21,2100,8.0,Инвестбанк
197,Дмитриева Мария,2018-7-20,3600,7.0,РосТоргПром банк
198,Румянцев Александр,2022-6-1,2100,8.0,Инвестбанк
199,Серов Максим,2022-4-15,13000,2.0,ВАШ БАНК
200,Гришина Светлана,2021-12-12,11000,2.0,ВАШ БАНК
201,Жданов Андрей,2018-8-16,18000,1.0,ВАШ БАНК
202,Васильева Ксения,2018-1-23,8000,3.0,ВАШ БАНК
203,Демидов Артур,2021-12-5,16400,1.0,ВАШ БАНК
204,Нефедов Дмитрий,2018-5-26,18400,1.0,ВАШ БАНК
205,Софронов Илья,2019-11-28,500,10.0,РосТоргПром банк
206,Иванов Тимур,2022-6-4,2000,9.0,Инвестбанк
207,Чернова Евгения,2022-10-27,2000,9.0,РосТоргПром банк
208,Соловьев Михаил,2018-9-3,4500,6.0,РосТоргПром банк
209,Иванова Анастасия,2021-11-20,30000,0.5,Стальстрой банк
210,Майоров Никита,2020-4-18,1900,9.0,Инвестбанк
211,Журавлев Давид,2019-9-6,8500,3.0,ВАШ БАНК
212,Сергеев Георгий,2022-3-18,16500,1.0,ВАШ БАНК
213,Чистякова Ольга,2020-10-1,700,10.0,РосТоргПром банк
214,Васильев Фёдор,2018-5-11,8200,3.0,ВАШ БАНК
215,Смирнов Марк,2022-10-14,36000,0.5,Стальстрой банк
216,Сидорова Полина,2022-11-23,12700,2.0,ВАШ БАНК
217,Туманов Владимир,2021-1-26,2700,8.0,Инвестбанк
218,Кузнецова Марина,2021-3-28,38000,0.5,Стальстрой банк
219,Новикова Дарья,2018-1-15,11000,2.0,ВАШ БАНК
220,Морозов Семён,2022-10-14,44000,0.5,Стальстрой банк
221,Поляков Павел,2020-9-18,9100,3.0,ВАШ БАНК
222,Леонов Матвей,2018-6-14,4500,6.0,РосТоргПром банк
223,Куликова Виктория,2021-3-19,14500,2.0,ВАШ БАНК
224,Розанова Ника,2020-10-3,15000,2.0,ВАШ БАНК
225,Крючкова Алиса,2020-8-13,1600,9.0,Инвестбанк
226,Трифонова Виктория,2022-12-12,3300,7.0,РосТоргПром банк
227,Поляков Тимофей,2021-1-14,1600,9.0,РосТоргПром банк
228,Авдеева Василиса,2019-9-14,4100,6.0,РосТоргПром банк
229,Кольцов Андрей,2020-5-20,4300,6.0,РосТоргПром банк
230,Белоусова Вероника,2020-12-1,31000,0.5,Стальстрой банк
231,Фадеев Егор,2021-9-21,4800,6.0,РосТоргПром банк
232,Елисеев Артём,2022-11-3,3000,8.0,РосТоргПром банк
233,Жданова Кира,2022-6-3,10500,2.0,ВАШ БАНК
234,Жукова Ева,2021-6-10,17900,1.0,ВАШ БАНК
235,Горелова Кира,2018-10-17,26000,0.5,Стальстрой банк
236,Шевелева Василиса,2021-10-15,13200,2.0,ВАШ БАНК
237,Смирнова Ксения,2020-9-19,4300,6.0,РосТоргПром банк
238,Жукова Ева,2020-8-15,18600,1.0,ВАШ БАНК
239,Фомичев Николай,2021-8-8,27000,0.5,Стальстрой банк
240,Медведева Виктория,2021-11-8,3000,8.0,Инвестбанк
241,Новиков Роберт,2019-4-8,3300,7.0,Инвестбанк
242,Новиков Егор,2021-11-2,18200,1.0,ВАШ БАНК
243,Волошина Анна,2018-10-25,32000,0.5,Стальстрой банк
244,Субботин Илья,2022-8-24,44000,0.5,Стальстрой банк
245,Кириллов Тимофей,2020-9-19,47000,0.5,Стальстрой банк
246,Романова Мира,2019-12-24,15200,1.0,ВАШ БАНК
247,Леонов Матвей,2022-2-11,800,10.0,Инвестбанк
248,Иванова Анна,2022-4-22,500,10.0,РосТоргПром банк
249,Ананьев Лев,2019-4-5,3500,7.0,РосТоргПром банк
250,Киселева Варвара,2021-7-26,900,10.0,РосТоргПром банк
251,Алексеева Мария,2018-6-27,41000,0.5,Стальстрой банк
252,Ильинский Иван,2020-5-17,39000,0.5,Стальстрой банк
253,Леонов Матвей,2022-2-23,32000,0.5,Стальстрой банк
254,Иванов Тимофей,2018-9-18,2900,8.0,РосТоргПром банк
255,Сидорова Вероника,2018-6-20,8700,3.0,ВАШ БАНК
256,Жукова Ева,2018-3-14,11000,2.0,ВАШ БАНК
257,Чистякова Ольга,2021-6-5,12300,2.0,ВАШ БАНК
258,Майоров Никита,2022-1-16,11600,2.0,ВАШ БАНК
259,Карасев Иван,2020-2-13,2700,8.0,Инвестбанк
260,Алексеев Роман,2020-6-7,3900,7.0,РосТоргПром банк
261,Кулагина Василиса,2018-2-16,10200,2.0,ВАШ БАНК
262,Степанов Михаил,2021-12-28,800,10.0,Инвестбанк
263,Романова Евгения,2021-5-3,4700,6.0,Инвестбанк
264,Романова Мира,2020-7-28,2500,8.0,РосТоргПром банк
265,Демидова Эмма,2020-8-7,700,10.0,РосТоргПром банк
266,Алексеев Григорий,2020-6-26,3500,7.0,РосТоргПром банк
267,Павлов Владимир,2020-3-12,35000,0.5,Стальстрой банк
268,Некрасова Вера,2018-9-8,14900,2.0,ВАШ БАНК
269,Субботин Илья,2019-6-9,9200,3.0,ВАШ БАНК
270,Данилова Александра,2022-3-2,14000,2.0,ВАШ БАНК
271,Спиридонов Георгий,2020-1-9,47000,0.5,Стальстрой банк
272,Попов Тимофей,2019-1-19,4800,6.0,Инвестбанк
273,Агафонов Ярослав,2020-4-23,700,10.0,РосТоргПром банк
274,Демидова Эмма,2020-9-16,500,10.0,РосТоргПром банк
275,Зайцева Софья,2019-11-13,17100,1.0,ВАШ БАНК
276,Степанова Виктория,2022-12-10,500,10.0,РосТоргПром банк
277,Поляков Артемий,2022-5-7,9500,3.0,ВАШ БАНК
278,Куликова Виктория,2021-12-27,8200,3.0,ВАШ БАНК
279,Ковалев Иван,2019-8-3,17700,1.0,ВАШ БАНК
280,Сухарева Малика,2019-1-21,3600,7.0,Инвестбанк
281,Шевелева Василиса,2018-10-11,3000,8.0,РосТоргПром банк
282,Зимин Николай,2020-2-22,47000,0.5,Стальстрой банк
283,Соколов Илья,2020-8-19,46000,0.5,Стальстрой банк
284,Трифонова Виктория,2020-5-28,15200,1.0,ВАШ БАНК
285,Романова Мира,2019-3-13,3300,7.0,РосТоргПром банк
286,Муратова Дарья,2018-5-26,800,10.0,РосТоргПром банк
287,Павлова Нина,2021-3-5,1700,9.0,Инвестбанк
288,Козлова Дарина,2022-3-6,12600,2.0,ВАШ БАНК
289,Морозова Анна,2018-11-5,18700,1.0,ВАШ БАНК
290,Лобанов Роман,2018-7-27,11500,2.0,ВАШ БАНК
291,Шишкина Алёна,2018-12-6,3700,7.0,РосТоргПром банк
292,Еремина Сабина,2022-12-3,13700,2.0,ВАШ БАНК
293,Семенов Артём,2018-4-10,3000,8.0,РосТоргПром банк
294,Горбунова Мария,2021-3-28,14500,2.0,ВАШ БАНК
295,Киселева Мария,2022-6-15,3900,7.0,РосТоргПром банк
296,Елисеев Артём,2018-1-1,1500,9.0,РосТоргПром банк
297,Горелова Маргарита,2022-8-14,11900,2.0,ВАШ БАНК
298,Розанова Ника,2020-11-13,10800,2.0,ВАШ БАНК
299,Ковалев Иван,2018-11-7,2700,8.0,Инвестбанк
300,Дементьева Дарья,2020-12-13,38000,0.5,Стальстрой банк
301,Агафонов Ярослав,2022-9-3,35000,0.5,Стальстрой банк
302,Медведев Георгий,2021-10-23,18100,1.0,ВАШ БАНК
303,Иванова Яна,2021-5-15,2000,9.0,РосТоргПром банк
304,Андрианова Вероника,2022-12-6,10300,2.0,ВАШ БАНК
305,Соколов Семён,2021-3-25,4600,6.0,РосТоргПром банк
306,Волкова Милана,2019-7-24,49000,0.5,Стальстрой банк
307,Лебедев Иван,2019-10-7,4100,6.0,Инвестбанк
308,Синицына Татьяна,2022-11-23,10000,2.0,ВАШ БАНК
309,Уткин Марк,2021-4-4,16100,1.0,ВАШ БАНК
310,Козлова Виктория,2022-4-19,31000,0.5,Стальстрой банк
311,Матвеева София,2020-11-24,2900,8.0,Инвестбанк
312,Соловьева София,2019-1-22,42000,0.5,Стальстрой банк
313,Смирнов Александр,2019-9-22,4400,6.0,Инвестбанк
314,Чернова Евгения,2022-10-26,1100,9.0,Инвестбанк
315,Иванова Анна,2018-5-17,34000,0.5,Стальстрой банк
316,Гуляев Владимир,2020-11-16,1500,9.0,Инвестбанк
317,Новиков Егор,2022-7-22,12300,2.0,ВАШ БАНК
318,Зорина Василиса,2021-8-4,36000,0.5,Стальстрой банк
319,Львова Кристина,2020-9-7,15500,1.0,ВАШ БАНК
320,Демидов Артур,2022-6-1,37000,0.5,Стальстрой банк
321,Родионов Мирослав,2021-6-26,31000,0.5,Стальстрой банк
322,Сидорова Вероника,2018-1-28,2600,8.0,РосТоргПром банк
323,Крылова Анна,2019-7-9,3700,7.0,РосТоргПром банк
324,Ильинский Иван,2019-9-4,2600,8.0,Инвестбанк
325,Журавлев Давид,2022-10-16,25000,0.5,Стальстрой банк
326,Егоров Иван,2020-4-10,49000,0.5,Стальстрой банк
327,Смирнов Марк,2018-1-2,10200,2.0,ВАШ БАНК
328,Егорова София,2018-2-2,28000,0.5,Стальстрой банк
329,Софронов Тимофей,2022-5-20,15700,1.0,ВАШ БАНК
330,Матвеева Ксения,2021-8-19,49000,0.5,Стальстрой банк
331,Журавлев Давид,2022-6-16,4100,6.0,РосТоргПром банк
332,Чернышева Таисия,2021-10-1,14100,2.0,ВАШ БАНК
333,Соловьев Сергей,2019-5-16,1000,10.0,Инвестбанк
334,Кольцов Андрей,2019-4-1,11400,2.0,ВАШ БАНК
335,Лосев Богдан,2022-2-9,2400,8.0,РосТоргПром банк
336,Сомов Ярослав,2019-7-17,4700,6.0,РосТоргПром банк
337,Уткин Марк,2019-6-18,19500,1.0,ВАШ БАНК
338,Ильинский Иван,2018-6-18,14900,2.0,ВАШ БАНК
339,Алексеев Роман,2018-12-23,36000,0.5,Стальстрой банк
340,Новиков Егор,2021-5-12,31000,0.5,Стальстрой банк
341,Лобанов Святослав,2021-1-1,11100,2.0,ВАШ БАНК
342,Гладкова Ксения,2022-7-28,37000,0.5,Стальстрой банк
343,Новиков Егор,2021-6-23,2200,8.0,РосТоргПром банк
344,Соловьева София,2019-8-17,8600,3.0,ВАШ БАНК
345,Матвеева Ксения,2020-7-1,3500,7.0,РосТоргПром банк
346,Киселева Варвара,2020-10-13,2500,8.0,РосТоргПром банк
347,Зуев Евгений,2020-10-10,15100,1.0,ВАШ БАНК
348,Степанов Леонид,2018-11-1,2000,9.0,РосТоргПром банк
349,Комаров Роман,2018-8-27,27000,0.5,Стальстрой банк
350,Григорьев Ярослав,2022-6-21,4800,6.0,Инвестбанк
351,Кузнецова Стефания,2021-6-20,4700,6.0,Инвестбанк
352,Юдин Михаил,2019-5-28,2600,8.0,Инвестбанк
353,Зуев Евгений,2021-9-19,16100,1.0,ВАШ БАНК
354,Данилова Александра,2022-6-16,12800,2.0,ВАШ БАНК
355,Рыжов Алексей,2020-6-24,1300,9.0,Инвестбанк
356,Степанов Михаил,2022-6-27,1300,9.0,РосТоргПром банк
357,Хомяков Олег,2021-12-10,4400,6.0,Инвестбанк
358,Агафонов Ярослав,2019-3-28,29000,0.5,Стальстрой банк
359,Журавлев Давид,2018-1-23,3400,7.0,РосТоргПром банк
360,Булгаков Роман,2020-9-20,48000,0.5,Стальстрой банк
361,Жданова Кира,2020-12-16,1900,9.0,Инвестбанк
362,Краснов Антон,2021-5-21,4400,6.0,Инвестбанк
363,Пугачева Юлия,2019-2-1,2100,8.0,РосТоргПром банк
364,Григорьев Антон,2022-3-7,3100,7.0,РосТоргПром банк
365,Кулакова Вероника,2020-3-12,1000,10.0,Инвестбанк
366,Соколова Алиса,2019-6-20,9000,3.0,ВАШ БАНК
367,Михайлов Виктор,2022-1-28,4100,6.0,Инвестбанк
368,Чернова Евгения,2019-1-23,42000,0.5,Стальстрой банк
369,Козловский Фёдор,2019-5-14,19100,1.0,ВАШ БАНК
370,Горбунова Мария,2022-3-11,3600,7.0,Инвестбанк
371,Лосев Богдан,2019-9-5,4500,6.0,РосТоргПром банк
372,Куликова Диана,2021-4-19,4900,6.0,РосТоргПром банк
373,Иванова Анна,2021-2-15,4100,6.0,Инвестбанк
374,Кузин Иван,2018-11-10,37000,0.5,Стальстрой банк
375,Поляков Тимофей,2021-10-20,42000,0.5,Стальстрой банк
376,Маркелова Софья,2018-3-22,31000,0.5,Стальстрой банк
377,Медведев Мирон,2021-12-3,26000,0.5,Стальстрой банк
378,Жуков Арсений,2019-7-15,800,10.0,Инвестбанк
379,Гусева София,2019-12-2,44000,0.5,Стальстрой банк
380,Жданова Кира,2021-8-20,3900,7.0,Инвестбанк
381,Уткин Марк,2018-5-21,4400,6.0,РосТоргПром банк
382,Макаров Матвей,2020-9-9,3400,7.0,Инвестбанк
383,Иванова Яна,2021-10-22,2500,8.0,Инвестбанк
384,Князева Анна,2021-1-11,4600,6.0,РосТоргПром банк
385,Алексеев Роман,2019-10-12,40000,0.5,Стальстрой банк
386,Белоусова Анна,2019-1-2,4100,6.0,Инвестбанк
387,Ильинский Иван,2021-9-16,1200,9.0,РосТоргПром банк
388,Спиридонов Георгий,2022-2-28,4500,6.0,Инвестбанк
389,Демидова Эмма,2019-11-24,15900,1.0,ВАШ БАНК
390,Богданов Давид,2019-5-19,2100,8.0,Инвестбанк
391,Фирсова Ульяна,2022-4-21,11900,2.0,ВАШ БАНК
392,Меркулова Марина,2022-7-7,600,10.0,РосТоргПром банк
393,Филатова Алиса,2021-12-1,18200,1.0,ВАШ БАНК
394,Соловьев Сергей,2022-8-9,4300,6.0,Инвестбанк
395,Родионов Данила,2020-10-7,16200,1.0,ВАШ БАНК
396,Малахов Тимофей,2022-7-11,3100,7.0,РосТоргПром банк
397,Малахов Тимофей,2019-7-26,2400,8.0,Инвестбанк
398,Кузнецова Стефания,2020-1-5,2000,9.0,РосТоргПром банк
399,Гришина Светлана,2019-10-28,2600,8.0,Инвестбанк
400,Гуляев Олег,2022-12-15,15800,1.0,ВАШ БАНК
401,Иванова Алиса,2018-3-15,1500,9.0,РосТоргПром банк
402,Фокин Андрей,2021-3-19,700,10.0,Инвестбанк
403,Зорина Василиса,2022-3-26,3700,7.0,РосТоргПром банк
404,Трифонова Виктория,2020-1-21,16800,1.0,ВАШ БАНК
405,Ковалев Михаил,2022-3-5,4600,6.0,РосТоргПром банк
